NCT Code,Trial Name,Trial URL,Priority,Status
NCT05254184,KRAS-Targeted Vaccine With Nivolumab and Ipilimumab for Patients With NSCLC,https://clinicaltrials.gov/study/NCT05254184,2. Multi-RAS + Colon,RECRUITING
NCT05438667,TCR-T Cell Therapy on Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05438667,2. Multi-RAS + Colon,RECRUITING
NCT06253520,Autologous T-cells Genetically Engineered to Express Receptors Reactive Against KRAS Mutations in Conjunction With a Vaccine Directed Against These Antigens in Participants With Metastatic Cancer,https://clinicaltrials.gov/study/NCT06253520,2. Multi-RAS + Colon,RECRUITING
NCT06667544,A Study of RNK08954 in Subjects With Advanced Solid Tumors With KRAS ((Kirsten Rat Sarcoma) G12D Mutation,https://clinicaltrials.gov/study/NCT06667544,2. G12D + Basket trial,RECRUITING
NCT06947811,A Study of Almonertinib Combined With Palbociclib in Patients With Advanced Solid Tumors Harboring KRAS Mutations,https://clinicaltrials.gov/study/NCT06947811,2. Multi-RAS + Colon,RECRUITING
NCT06956261,NW-301 TCR-T in Patients With Advanced Solid Tumor,https://clinicaltrials.gov/study/NCT06956261,2. Multi-RAS + Colon,NOT_YET_RECRUITING
NCT06970132,Study of SY-5933 Plus CT-707 in Advanced Solid Tumors With KRAS p.G12C Mutation,https://clinicaltrials.gov/study/NCT06970132,2. Multi-RAS + Colon,NOT_YET_RECRUITING
NCT07207707,A Study to Investigate the Safety and Efficacy of KQB548 in Participants With Advanced Solid Malignancies,https://clinicaltrials.gov/study/NCT07207707,2. Multi-RAS + Colon,RECRUITING
NCT07240766,HRS-4642 in Combination With Nimotuzumab and Chemotherapy for BRPC With KRAS G12D Mutation,https://clinicaltrials.gov/study/NCT07240766,2. G12D + Basket trial,NOT_YET_RECRUITING
NCT07259590,A Study of GFH375 Combined With Cetuximab or Chemotherapy in Participants With Solid Tumors Harboring KRAS G12D Mutation,https://clinicaltrials.gov/study/NCT07259590,2. G12D + Basket trial,RECRUITING
NCT03745326,Administering Peripheral Blood Lymphocytes Transduced With a Murine T-Cell Receptor Recognizing the G12D Variant of Mutated RAS in HLA-A*11:01 Patients,https://clinicaltrials.gov/study/NCT03745326,2. G12D + Basket trial,RECRUITING
NCT05786924,Phase 1/2 Trial of S241656 in Selected RAS/MAPK Mutation- Positive Malignancies,https://clinicaltrials.gov/study/NCT05786924,2. Multi-RAS + Colon,RECRUITING
NCT06040541,Study of RMC-9805 in Participants With KRAS G12D-Mutant Solid Tumors,https://clinicaltrials.gov/study/NCT06040541,2. G12D + Basket trial,RECRUITING
NCT06218914,"Phase 1 Study to Investigate TCRTs KRAS Mutation in Unresectable, Advanced, and/or Metastatic Solid Tumors",https://clinicaltrials.gov/study/NCT06218914,2. G12D + Basket trial,RECRUITING
NCT06403735,A Phase I Clinical Study of QLC1101 in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06403735,2. G12D + Basket trial,RECRUITING
NCT06445062,Study of RAS(ON) Inhibitors in Patients With Gastrointestinal Solid Tumors,https://clinicaltrials.gov/study/NCT06445062,2. Multi-RAS + Colon,RECRUITING
